gaia_dr3,cap,FeH,vmic,nFeI,railed_any,n_spectra
647383581622234496,full,0.3449,1.676,63.0,0,1
647383581622234496,w140,0.3449,1.676,63.0,0,1
647383581622234496,w120,0.3449,1.676,63.0,0,1
647383581622234496,w100,0.3962,1.43,56.0,0,1
1172246044236127744,full,0.1869,1.742,70.0,0,1
1172246044236127744,w140,0.2165,1.627,63.0,0,1
1172246044236127744,w120,0.2752,1.446,57.0,0,1
1172246044236127744,w100,0.3544,1.168,43.0,0,1
1291436403222476928,full,0.0514,2.292,62.5,0,2
1291436403222476928,w140,0.1343,1.938,46.0,0,2
1291436403222476928,w120,0.227,1.652,39.0,0,2
1291436403222476928,w100,0.3006,1.414,31.5,0,2
1344347754609974912,full,0.2467,2.566,66.5,1,2
1344347754609974912,w140,0.2457,2.566,66.0,1,2
1344347754609974912,w120,0.2553,2.423,61.5,0,2
1344347754609974912,w100,0.2491,2.574,47.5,1,2
1349677912103573888,full,0.1712,1.775,54.0,0,1
1349677912103573888,w140,0.2293,1.545,47.0,0,1
1349677912103573888,w120,0.2424,1.479,42.0,0,1
1349677912103573888,w100,0.3306,1.2,33.0,0,1
1373298170645854208,full,0.2049,1.775,50.0,0,1
1373298170645854208,w140,0.2202,1.857,42.0,0,1
1373298170645854208,w120,0.2578,1.545,38.0,0,1
1373298170645854208,w100,0.2936,1.348,31.0,0,1
1615356205256881920,full,0.0475,2.546,49.0,0,1
1615356205256881920,w140,0.156,1.807,33.0,0,1
1615356205256881920,w120,0.1912,1.709,29.0,0,1
1615356205256881920,w100,0.4222,1.2,24.0,0,1
1817438775924874496,full,0.3037,1.446,57.0,0,1
1817438775924874496,w140,0.3566,1.25,53.0,0,1
1817438775924874496,w120,0.3785,1.217,48.0,0,1
1817438775924874496,w100,0.3805,1.118,42.0,0,1
1956623998681016960,full,0.5114,1.414,72.0,0,1
1956623998681016960,w140,0.5488,1.332,66.0,0,1
1956623998681016960,w120,0.5844,1.217,57.0,0,1
1956623998681016960,w100,0.6415,1.069,48.0,0,1
2046021505262823296,full,0.2922,1.791,78.0,0,1
2046021505262823296,w140,0.3011,1.693,77.0,0,1
2046021505262823296,w120,0.3011,1.693,77.0,0,1
2046021505262823296,w100,0.3287,1.578,72.0,0,1
2060055328082386304,full,0.2251,1.84,70.0,0,1
2060055328082386304,w140,0.356,1.529,61.0,0,1
2060055328082386304,w120,0.3947,1.348,54.0,0,1
2060055328082386304,w100,0.4282,1.217,43.0,0,1
2250537578633588352,full,0.4475,1.725,71.0,0,1
2250537578633588352,w140,0.4857,1.561,66.0,0,1
2250537578633588352,w120,0.502,1.496,59.0,0,1
2250537578633588352,w100,0.5679,1.315,52.0,0,1
3958303608740295296,full,0.2623,1.594,80.0,0,1
3958303608740295296,w140,0.2623,1.594,80.0,0,1
3958303608740295296,w120,0.2623,1.594,80.0,0,1
3958303608740295296,w100,0.3029,1.43,71.0,0,1
3981490689765823744,full,0.2294,1.742,57.0,0,1
3981490689765823744,w140,0.3228,1.397,51.0,0,1
3981490689765823744,w120,0.3367,1.348,46.0,0,1
3981490689765823744,w100,0.4455,1.036,37.0,0,1
4285843204916407296,full,0.2876,1.774,66.5,0,2
4285843204916407296,w140,0.333,1.561,58.0,0,2
4285843204916407296,w120,0.3646,1.43,53.5,0,2
4285843204916407296,w100,0.4226,1.356,41.5,0,2
4547137062312951680,full,-0.0128,2.406,61.0,0,2
4547137062312951680,w140,0.0986,1.963,44.0,0,2
4547137062312951680,w120,0.17,1.709,37.0,0,2
4547137062312951680,w100,0.2908,1.381,29.5,0,2
4553137647030000384,full,0.1942,1.922,63.0,0,1
4553137647030000384,w140,0.2799,1.627,52.0,0,1
4553137647030000384,w120,0.3758,1.364,46.0,0,1
4553137647030000384,w100,0.528,0.971,37.0,0,1
4596318389222965504,full,0.176,2.037,54.0,0,1
4596318389222965504,w140,0.3045,1.676,46.0,0,1
4596318389222965504,w120,0.3158,1.627,41.0,0,1
4596318389222965504,w100,0.4268,1.184,33.0,0,1
4607078038213603712,full,0.09,2.168,51.0,0,1
4607078038213603712,w140,0.1373,1.971,38.0,0,1
4607078038213603712,w120,0.2662,1.578,31.0,0,1
4607078038213603712,w100,0.261,1.561,25.0,0,1
2085055993420266624,full,0.4567,1.693,77.0,0,1
2085055993420266624,w140,0.4567,1.693,77.0,0,1
2085055993420266624,w120,0.5258,1.348,72.0,0,1
2085055993420266624,w100,0.5227,1.348,63.0,0,1
2134294185689376512,full,0.5673,1.217,63.0,0,1
2134294185689376512,w140,0.5673,1.217,63.0,0,1
2134294185689376512,w120,0.5796,1.184,56.0,0,1
2134294185689376512,w100,0.6269,1.036,48.0,0,1
4267387391205504256,full,0.4691,1.086,64.0,0,1
4267387391205504256,w140,0.4691,1.086,64.0,0,1
4267387391205504256,w120,0.4691,1.086,64.0,0,1
4267387391205504256,w100,0.4754,1.053,57.0,0,1
2759121045748142848,full,0.3998,1.545,77.0,0,1
